instance_id;x;y
2D Sphere_0;-17.54918;16.66175
2D Sphere_1;-17.65782;15.62851
2D Sphere_2;-21.14433;14.81686
2D Sphere_3;-20.20336;-2.19491
2D Sphere_4;-20.5504;-0.55892
2D Sphere_5;-18.43439;16.2271
2D Sphere_6;-22.12573;11.42376
2D Sphere_7;-19.8334;-1.5734
2D Sphere_8;-21.04522;0.16762
2D Sphere_9;-20.26699;14.8799
2D Sphere_10;-18.23114;16.6802
2D Sphere_11;-22.68841;13.37535
2D Sphere_12;-17.59333;14.8769
2D Sphere_13;-18.85462;16.44509
2D Sphere_14;-22.47919;13.41055
2D Sphere_15;-21.6787;13.53544
2D Sphere_16;-24.36027;7.65608
2D Sphere_17;-17.7197;17.66928
2D Sphere_18;-18.05523;17.73186
2D Sphere_19;-19.47508;15.91769
3D Sphere_0;-21.58134;11.53633
3D Sphere_1;-19.96618;17.75768
3D Sphere_2;-20.94202;13.49876
3D Sphere_3;-20.08066;14.90256
3D Sphere_4;-24.29171;7.45562
3D Sphere_5;-18.9248;17.50686
3D Sphere_6;-20.08285;13.46961
3D Sphere_7;-22.42924;7.64304
3D Sphere_8;-20.89933;7.42628
3D Sphere_9;-19.54192;-1.46089
3D Sphere_10;-21.70991;7.66038
3D Sphere_11;-19.06167;-1.85664
3D Sphere_12;-23.62963;6.12474
3D Sphere_13;-21.02565;2.08619
3D Sphere_14;-21.49055;12.77286
3D Sphere_15;-20.08871;13.19614
3D Sphere_16;-19.16526;-2.56919
3D Sphere_17;-20.61576;0.91492
3D Sphere_18;-20.35641;14.13574
3D Sphere_19;-18.2422;17.03949
5D Sphere_0;-20.9154;13.95407
5D Sphere_1;-21.35953;7.15228
5D Sphere_2;-19.97692;0.26003
5D Sphere_3;-22.85996;6.27761
5D Sphere_4;-20.19009;0.57262
5D Sphere_5;-19.98604;15.75001
5D Sphere_6;-22.15963;5.03905
5D Sphere_7;-23.14828;5.61099
5D Sphere_8;-20.02552;0.90103
5D Sphere_9;-21.16275;2.97703
5D Sphere_10;-19.17016;17.8193
5D Sphere_11;-20.95438;12.914
5D Sphere_12;-20.67813;7.02927
5D Sphere_13;-19.40274;17.25083
5D Sphere_14;-18.60762;18.74034
5D Sphere_15;-21.19093;11.63548
5D Sphere_16;-20.64788;3.1008
5D Sphere_17;-20.28469;1.35296
5D Sphere_18;-20.31466;15.99847
5D Sphere_19;-19.83314;17.04684
GS Balanced_0;-10.87748;14.35488
GS Balanced_1;-9.86881;15.92082
GS Balanced_2;-11.44697;15.06288
GS Balanced_3;-11.8792;15.99113
GS Balanced_4;-10.94907;17.02806
GS Balanced_5;-10.81248;14.77594
GS Balanced_6;-11.40453;16.41416
GS Balanced_7;-10.59838;16.46848
GS Balanced_8;-11.79141;16.08045
GS Balanced_9;-10.99262;15.6999
GS Balanced_10;-11.12241;15.17358
GS Balanced_11;-10.85454;16.4481
GS Balanced_12;-11.32957;15.80063
GS Balanced_13;-12.26384;17.70742
GS Balanced_14;-10.95427;15.05556
GS Balanced_15;-11.93033;17.00675
GS Balanced_16;-11.35869;17.00965
GS Balanced_17;-12.29738;17.94934
GS Balanced_18;-11.50152;15.37923
GS Balanced_19;-11.99959;16.41419
GS Caterpillar_0;-2.71804;23.13503
GS Caterpillar_1;-3.0319;23.06827
GS Caterpillar_2;-3.65077;23.55807
GS Caterpillar_3;-2.92591;23.48716
GS Caterpillar_4;-2.96313;24.72708
GS Caterpillar_5;-4.1742;23.78068
GS Caterpillar_6;-2.49494;23.69316
GS Caterpillar_7;-4.07805;23.42826
GS Caterpillar_8;-4.21024;24.01185
GS Caterpillar_9;-3.00625;24.14877
GS Caterpillar_10;-2.70405;24.45891
